,time,et_x,et_y,et_z,head_pos_x,head_pos_y,head_pos_z,class_disp
886,1578642358225293,0.03034973,-0.1504364,0.98814392,-0.08047,1.18451,0.37924,1
887,1578642358231171,0.03178406,-0.15023804,0.98812866,-0.08047,1.18451,0.37924,1
888,1578642358235346,0.02931213,-0.15040588,0.98817444,-0.08047,1.18451,0.37924,1
889,1578642358239353,0.02931213,-0.15040588,0.98817444,-0.08047,1.18453,0.37921,1
890,1578642358244343,0.03025818,-0.15063477,0.9881134,-0.08047,1.18453,0.37921,1
891,1578642358248345,0.03025818,-0.15063477,0.9881134,-0.08047,1.18453,0.37921,1
892,1578642358254331,0.03120422,-0.1509552,0.98803711,-0.08047,1.18453,0.37921,1
893,1578642358258460,0.03120422,-0.1509552,0.98803711,-0.08048,1.18452,0.37921,1
894,1578642358266326,0.03123474,-0.15130615,0.98799133,-0.08017,1.18472,0.37914,1
895,1578642358270342,0.03125,-0.15164185,0.9879303,-0.08017,1.18472,0.37914,1
896,1578642358278334,0.03059387,-0.15229797,0.987854,-0.08018,1.18472,0.37914,1
897,1578642358282338,0.03059387,-0.15229797,0.987854,-0.08018,1.18472,0.37914,1
898,1578642358287662,0.02990723,-0.15287781,0.98777771,-0.08018,1.18472,0.37914,1
899,1578642358291673,0.02990723,-0.15287781,0.98777771,-0.07968,1.18504,0.37903,1
900,1578642358295596,0.02964783,-0.1524353,0.987854,-0.07968,1.18504,0.37903,1
901,1578642358299596,0.02964783,-0.1524353,0.987854,-0.07965,1.18505,0.37901,1
902,1578642358303325,0.02966309,-0.15199279999999998,0.9879303,-0.07965,1.18505,0.37901,1
903,1578642358309300,0.02958679,-0.15193176,0.98794556,-0.07965,1.18505,0.37901,1
904,1578642358313312,0.02958679,-0.15193176,0.98794556,-0.07965,1.18505,0.37901,1
905,1578642358319307,0.03005981,-0.15141296,0.98800659,-0.07973,1.18501,0.37903,1
906,1578642358323319,0.03005981,-0.15141296,0.98800659,-0.07973,1.18501,0.37903,1
907,1578642358327306,0.02989197,-0.14892578,0.98838806,-0.07973,1.18501,0.37903,1
908,1578642358334299,0.02989197,-0.14892578,0.98838806,-0.07973,1.18501,0.37902,1
909,1578642358338306,0.0296936,-0.14823914,0.98849487,-0.07973,1.18501,0.37902,1
910,1578642358346316,0.02958679,-0.14755249,0.98860168,-0.07971,1.185,0.37898,1
911,1578642358350300,0.03132629,-0.14633179,0.98872375,-0.07971,1.185,0.37898,1
912,1578642358356298,0.03132629,-0.14633179,0.98872375,-0.07971,1.185,0.37898,1
913,1578642358360296,0.03179932,-0.14630127,0.98872375,-0.07952000000000001,1.1851,0.37893,1
914,1578642358364285,0.03179932,-0.14630127,0.98872375,-0.07962999999999999,1.18503,0.37895,1
915,1578642358368316,0.0345459,-0.1443634,0.98890686,-0.07962999999999999,1.18503,0.37895,1
916,1578642358372295,0.0345459,-0.1443634,0.98890686,-0.07962999999999999,1.18503,0.37895,1
917,1578642358379279,0.03605652,-0.14427185,0.98887634,-0.07961,1.18503,0.37891,1
918,1578642358383678,0.03605652,-0.14427185,0.98887634,-0.07961,1.18503,0.37891,1
919,1578642358389679,0.03512573,-0.14367676,0.98899841,-0.07961,1.18503,0.37891,1
920,1578642358393659,0.03509521,-0.14407349,0.98893738,-0.07961,1.18503,0.3789,1
921,1578642358399656,0.03509521,-0.14407349,0.98893738,-0.07961,1.18503,0.3789,0
922,1578642358403643,0.03451538,-0.144104,0.98895264,-0.07961,1.18503,0.3789,0
923,1578642358407752,0.03451538,-0.144104,0.98895264,-0.07977999999999999,1.1849299999999998,0.37885,0
924,1578642358412650,0.03799438,-0.14399719,0.98883057,-0.07977999999999999,1.1849299999999998,0.37885,0
925,1578642358416657,0.03799438,-0.14399719,0.98883057,-0.07977999999999999,1.1849299999999998,0.37885,0
926,1578642358421646,0.03746033,-0.14491272,0.98872375,-0.0796,1.18501,0.37879,0
927,1578642358425648,0.0365448,-0.1446228,0.98880005,-0.0796,1.18501,0.37878,0
928,1578642358429646,0.0365448,-0.1446228,0.98880005,-0.0796,1.18501,0.37878,0
929,1578642358433650,0.0365448,-0.1446228,0.98880005,-0.0796,1.18501,0.37875,0
930,1578642358437642,0.03607178,-0.1456604,0.98866272,-0.0796,1.18501,0.37875,0
931,1578642358443653,0.03573608,-0.14547729,0.9887085,-0.07972,1.18497,0.37875,0
932,1578642358447714,0.03573608,-0.14547729,0.9887085,-0.07972,1.18497,0.37875,0
933,1578642358454653,0.03489685,-0.14456177,0.98887634,-0.07972,1.18497,0.37875,0
934,1578642358458729,0.03489685,-0.14456177,0.98887634,-0.07973,1.18503,0.3787,0
935,1578642358466656,0.034729,-0.14474487,0.98884583,-0.07973,1.18503,0.3787,0
936,1578642358470673,0.03559875,-0.14451599,0.98884583,-0.07973,1.18503,0.3787,0
937,1578642358484719,0.03434753,-0.14431763,0.98892212,-0.07973,1.18504,0.37869,0
938,1578642358489630,0.03434753,-0.14431763,0.98892212,-0.07973,1.18504,0.37869,0
939,1578642358526644,0.03536987,-0.14447021,0.98886108,-0.07944,1.1853200000000002,0.3785,0
940,1578642358530637,0.03536987,-0.14447021,0.98886108,-0.07944,1.1853200000000002,0.3785,0
941,1578642358535630,0.03601074,-0.14476013,0.98880005,-0.07944,1.1853200000000002,0.3785,0
942,1578642358539627,0.03601074,-0.14476013,0.98880005,-0.07944,1.1853200000000002,0.3785,0
943,1578642358543630,0.03590393,-0.14494324,0.98878479,-0.07952999999999999,1.18527,0.37852,0
944,1578642358547634,0.03590393,-0.14494324,0.98878479,-0.07952999999999999,1.18527,0.37852,0
945,1578642358551632,0.03616333,-0.14544678,0.98869324,-0.07952999999999999,1.18527,0.37852,0
946,1578642358555621,0.03616333,-0.14544678,0.98869324,-0.07946,1.18534,0.37848,0
947,1578642358559609,0.03616333,-0.14544678,0.98869324,-0.07946,1.18534,0.37848,0
948,1578642358563621,0.03636169,-0.14460754,0.98881531,-0.07946,1.18534,0.37848,0
949,1578642358569623,0.03623962,-0.14402771,0.98890686,-0.07946,1.18535,0.37848,0
950,1578642358573633,0.03623962,-0.14402771,0.98890686,-0.07946,1.18535,0.37848,0
951,1578642358577613,0.0365448,-0.14431763,0.98884583,-0.07946,1.18535,0.37848,0
952,1578642358581615,0.0365448,-0.14431763,0.98884583,-0.07946,1.18535,0.37848,0
953,1578642358585625,0.03642273,-0.14425659,0.98886108,-0.07946,1.18535,0.37848,0
954,1578642358623974,0.03846741,-0.14334106,0.98892212,-0.07896,1.18567,0.37835,0
955,1578642358627994,0.03771973,-0.1439209,0.98886108,-0.07896,1.18567,0.37835,0
956,1578642358635873,0.03823853,-0.14372253,0.98887634,-0.07895,1.1856799999999998,0.37836,0
957,1578642358642959,0.03823853,-0.14372253,0.98887634,-0.07895,1.1856799999999998,0.37836,0
958,1578642358648147,0.03727722,-0.1444397,0.98880005,-0.07895,1.1856799999999998,0.37836,0
959,1578642358654127,0.03559875,-0.14579773,0.98866272,-0.07895,1.1856799999999998,0.37836,0
960,1578642358665411,0.03546143,-0.1443634,0.98887634,-0.07882,1.18585,0.37837,0
961,1578642358669402,0.03588867,-0.14427185,0.98887634,-0.07882,1.18585,0.37837,0
962,1578642358685231,0.03587341,-0.14430237,0.98887634,-0.07882,1.18585,0.37837,0
963,1578642358689240,0.03564453,-0.14477539,0.98881531,-0.07882,1.18585,0.37837,0
964,1578642358695780,0.03555298,-0.14341736,0.98901367,-0.07882,1.18585,0.37837,0
965,1578642358699768,0.03555298,-0.14341736,0.98901367,-0.07895,1.1858,0.3784,0
966,1578642358703872,0.03546143,-0.14234924,0.98916626,-0.07895,1.1858,0.3784,0
967,1578642358710414,0.03546143,-0.14234924,0.98916626,-0.07895,1.1858,0.3784,0
968,1578642358714315,0.0355835,-0.14294434,0.98908997,-0.07895,1.1858,0.3784,0
969,1578642358728289,0.03723145,-0.1532135,0.98748779,-0.07881,1.18589,0.37841,0
970,1578642358732268,0.03723145,-0.1532135,0.98748779,-0.07881,1.18589,0.37841,0
971,1578642358738280,0.03768921,-0.15293884,0.98750305,-0.07881,1.1859,0.37842,0
972,1578642358742261,0.03785706,-0.15193176,0.98765564,-0.07881,1.1859,0.37842,0
973,1578642358746258,0.03785706,-0.15193176,0.98765564,-0.07881,1.1859,0.37842,0
974,1578642358750267,0.03785706,-0.15193176,0.98765564,-0.07909,1.18572,0.37851,0
975,1578642358754334,0.0381012,-0.15161133,0.98770142,-0.07909,1.18572,0.37851,0
976,1578642358765271,0.03811646,-0.15151978,0.98771667,-0.07909,1.18573,0.37852,0
977,1578642358769266,0.03834534,-0.14741516,0.98832703,-0.07909,1.18573,0.37852,0
978,1578642358778194,0.03849792,-0.1473999,0.98832703,-0.07912000000000001,1.1857,0.37857,0
979,1578642358782178,0.03849792,-0.1473999,0.98832703,-0.07919,1.18566,0.37858,0
980,1578642358785755,0.03848267,-0.14738464,0.98832703,-0.07919,1.18566,0.37859,0
981,1578642358789680,0.03848267,-0.14738464,0.98832703,-0.07919,1.18566,0.37859,0
982,1578642358793719,0.03823853,-0.14996338,0.98794556,-0.07919,1.18566,0.37859,0
983,1578642358797672,0.03823853,-0.14996338,0.98794556,-0.0793,1.1856,0.37869,0
984,1578642358802688,0.03816223,-0.15103149,0.98777771,-0.0793,1.1856,0.37869,0
985,1578642358806677,0.03816223,-0.15103149,0.98777771,-0.0793,1.1856,0.37869,0
986,1578642358810670,0.03829956,-0.1509552,0.98779297,-0.07931,1.1856,0.3787,0
987,1578642358814689,0.03829956,-0.1509552,0.98779297,-0.07931,1.1856,0.3787,0
988,1578642358819659,0.04032898,-0.15100098,0.98770142,-0.07926,1.18562,0.37867,0
989,1578642358823821,0.04032898,-0.15100098,0.98770142,-0.07926,1.18562,0.37867,0
990,1578642358827928,0.03819275,-0.15126038,0.98774719,-0.07926,1.18562,0.37867,0
991,1578642358831661,0.03819275,-0.15126038,0.98774719,-0.07926,1.18561,0.37867,0
